사업장명,지번주소
비비알(B.B.R)비빔밥,"서울특별시 종로구 관수동 20-0번지 21-7,21-8 국일관드림팰리스 "
아침바다,서울특별시 종로구 내수동 110-33번지 
한양삼계탕,서울특별시 종로구 신문로2가 1-400번지 지상1층 
자담치킨 종로1,서울특별시 종로구 관철동 18-3 
풍곡,서울특별시 종로구 효자동 55-0번지 
연정,서울특별시 종로구 관수동 21-4번지 
청기와,서울특별시 종로구 효제동 133-2번지 
경원정,서울특별시 종로구 장사동 80-0번지 
화이팅종합분식,서울특별시 종로구 숭인동 202-3번지 
나주식당,서울특별시 종로구 청진동 281-0 
홍도식당,서울특별시 종로구 청진동 165-4번지 
원샷아이스호프,서울특별시 종로구 창신동 541-2번지 
황금마차,서울특별시 종로구 청진동 4-3번지 
맥스칸,서울특별시 종로구 창신동 173-0번지 
진미원,서울특별시 종로구 종로5가 493-1 
석촌추어탕,서울특별시 종로구 종로6가 244-7번지 지상1층 
